E_ID,E_GENDER,E_NAME,E_COUNTRY,E_TZ,E_HANDLE,E_COMMENT
133,M,Jorge Kowalski,USA,UTC-7,cpt-will,Regular member
134,M,Travis Del Ray,USA,UTC-5,curbappeal,Regular member
135,F,Denise Patel,USA,UTC-4,DamnItJimImJustACountryDoctor!,Regular member
136,M,Travis Del Ray,USA,UTC-6,dataz,Regular member
137,M,Ignatz Liu,USA,UTC-7,deek1960,Regular member
138,F,Sarah Khan,USA,UTC-5,DeProgrammedNeanderthal,Regular member
139,F,Barbara Brandt,USA,UTC-4,deserteagle69,Regular member
140,F,Sarah Lopez,USA,UTC-6,diver21,Regular member
141,F,Denise Liu,USA,UTC-7,endymio,Regular member
142,F,Barbara Johnson,USA,UTC-5,Ernest_T_Bass,Regular member
143,F,Emily diAntonio,USA,UTC-4,FactsandScience459,Regular member
144,M,Jorge Connor,USA,UTC-6,FactsAreNeitherRepublicanNorDemocrat,Regular member
145,M,Anthony Smith,USA,UTC-7,"Feb14,1859",Regular member
146,M,Anthony Smith,USA,UTC-5,fireloki,Regular member
147,M,Bobby Brandt,USA,UTC-4,foolautonomy,Regular member
148,M,Ignatz Hayashi,USA,UTC-6,gagaga,Regular member
149,F,Denise Smith,IRE,UTC+0,getreadytopaymore,Regular member
150,M,Anthony Robbins,USA,UTC-5,goford1,Regular member
151,M,Anthony Hayashi,USA,UTC-4,GoldScooter,Regular member
152,F,Barbara Schmitz,USA,UTC-6,hairylegs/cornpop2020,Regular member
153,M,Bobby Del Ray,USA,UTC-7,HighDensityEVParkingSafe,Regular member
154,M,Jorge Connor,USA,UTC-5,honeybear335,Regular member
155,M,Jorge Patel,USA,UTC-4,hotdogwater,Regular member
156,M,Bobby Connor,GBR,UTC+0,humbleto023,Regular member
157,M,Ignatz Del Ray,USA,UTC-7,jack_horner,Regular member
158,M,Travis Schmitz,USA,UTC-5,jackr1,Regular member
159,M,Ignatz diAntonio,USA,UTC-4,jacksonlions,Regular member
160,F,Sarah diAntonio,USA,UTC-6,jeb_stewart,Regular member
161,F,Denise diAntonio,USA,UTC-7,jeremyrnr058,Regular member
162,M,Anthony Patel,USA,UTC-5,joelupo260,Regular member
163,F,Denise Kowalski,USA,UTC-4,jrclen729,Regular member
164,F,Barbara diAntonio,USA,UTC-6,jrx770,Regular member
165,M,Anthony Smith,USA,UTC-7,justpassingas938,Regular member
166,M,Anthony Vacaro,USA,UTC-5,kmac59,Regular member
167,F,Barbara Robbins,USA,UTC-4,ldon742,Regular member
168,F,Sarah Smith,USA,UTC-6,Life,Regular member
169,M,Jorge Smith,USA,UTC-7,loosenut53,Regular member
170,M,Anthony diAntonio,GBR,UTC+0,lovefreedomhatelibs,Regular member
171,M,Anthony Brandt,USA,UTC-4,m42orion365,Regular member
172,M,Travis Robbins,USA,UTC-6,madjack990,Regular member
173,F,Sarah Brandt,USA,UTC-7,MangiaMerdaStronzo,Regular member
174,M,Travis Schmitz,USA,UTC-5,mchentrp993,Regular member
175,F,Sarah Smith,USA,UTC-4,mcriderjm,Regular member
176,F,Emily Smith,USA,UTC-6,Minenotyours24me14u,Regular member
177,F,Chloe Connor,USA,UTC-7,mma7454,Regular member
178,M,Ignatz diAntonio,USA,UTC-5,mmmmmiller,Regular member
179,M,Bobby Kowalski,USA,UTC-4,mnmoon,Regular member
180,M,Anthony diAntonio,USA,UTC-6,modernrepublican,Regular member
181,F,Chloe Kowalski,USA,UTC-7,mr.george,Regular member
182,F,Barbara Liu,USA,UTC-5,msattler066,Regular member
183,F,Denise Brandt,USA,UTC-4,"mygod,it'sfullofstars",Regular member
184,F,Barbara Robbins,USA,UTC-6,n982,Regular member
185,M,Anthony Patel,USA,UTC-7,NewFish,Regular member
186,F,Barbara Brandt,USA,UTC-5,nonyab917,Regular member
187,F,Denise Connor,USA,UTC-4,Not_A_Nazi,Regular member
188,F,Barbara Hayashi,USA,UTC-6,nottypical260,Regular member
189,F,Barbara Khan,USA,UTC-7,ohmsguy452,Regular member
190,F,Barbara Vacaro,USA,UTC-5,olddude52,Regular member
191,M,Travis Patel,USA,UTC-4,onemansopinion1960,Regular member
192,F,Denise Brandt,USA,UTC-6,OrangeRadio,Regular member
193,F,Chloe Johnson,USA,UTC-7,otis20266,Regular member
194,F,Chloe Lopez,USA,UTC-5,owntheright,Regular member
195,F,Sarah Brandt,USA,UTC-4,oysteret,Regular member
196,F,Denise Patel,USA,UTC-6,pat11602,Regular member
197,M,Bobby diAntonio,USA,UTC-7,perfectspecimen1,Regular member
198,M,Anthony Johnson,USA,UTC-5,philkoprowski217,Regular member
199,F,Emily diAntonio,USA,UTC-4,Plato57,Regular member
200,F,Chloe Lopez,USA,UTC-6,posttenebraslux,Regular member
201,M,Anthony Patel,USA,UTC-7,pulpjackie,Regular member
202,F,Emily Kowalski,USA,UTC-5,purplereign615,Regular member
203,M,Anthony Del Ray,USA,UTC-4,rangemaster11b,Regular member
204,F,Denise Patel,USA,UTC-6,rbw42478,Regular member
205,F,Emily diAntonio,USA,UTC-7,rdsouza,Regular member
206,F,Chloe Robbins,USA,UTC-5,"real,american",Regular member
207,M,Jorge Patel,USA,UTC-4,RealitySucks748,Regular member
208,F,Chloe Khan,USA,UTC-6,RememberLingerie,Regular member
209,F,Denise Smith,USA,UTC-7,retired_recon,Regular member
210,F,Barbara Hayashi,USA,UTC-5,rs101273,Regular member
211,F,Chloe Brandt,USA,UTC-4,rtraylor896,Regular member
212,F,Chloe Robbins,USA,UTC-6,rudie2t,Regular member
213,F,Emily Johnson,USA,UTC-7,ryarios373,Regular member
214,F,Chloe Khan,USA,UTC-5,scrappy851,Regular member
215,F,Chloe Khan,USA,UTC-4,sharpshooter433,Regular member
216,M,Bobby Liu,USA,UTC-6,shodansan889,Regular member
217,F,Denise Patel,USA,UTC-7,sixrings000,Regular member
218,F,Barbara Brandt,USA,UTC-5,smarterthandems,Regular member
219,F,Emily Schmitz,USA,UTC-4,someonewithanopinion,Regular member
220,M,Jorge diAntonio,GBR,UTC+0,SpeedyClassic,Regular member
221,F,Emily Smith,USA,UTC-7,stick2thefacts951,Regular member
222,F,Sarah Connor,USA,UTC-5,stinkaroo,Regular member
223,M,Travis diAntonio,USA,UTC-4,t.b.kahuna,Regular member
224,F,Sarah Connor,USA,UTC-6,teazle1,Regular member
225,M,Ignatz Liu,GBR,UTC+0,techsavvy,Regular member
226,F,Chloe Connor,GBR,UTC+0,texanbychoice2015,Regular member
227,F,Sarah Liu,USA,UTC-4,theredwhiteandblue,Regular member
228,F,Emily Del Ray,USA,UTC-6,theshawn,Regular member
229,M,Bobby Patel,USA,UTC-7,threeoddnumbers,Regular member
230,M,Jorge Kowalski,USA,UTC-5,tiredofcrazyaz999,Regular member
231,F,Denise Kowalski,USA,UTC-4,tjmaxx948,Regular member
232,F,Emily Hayashi,USA,UTC-6,todd11686,Regular member
233,F,Denise Robbins,USA,UTC-7,trivium525,Regular member
234,F,Emily Brandt,USA,UTC-5,trulytruthful,Regular member
235,M,Jorge Smith,USA,UTC-4,trump-for-pres,Regular member
236,M,Anthony Johnson,USA,UTC-6,truthcanbeuncomfortable,Regular member
237,F,Denise Brandt,USA,UTC-7,truthman50413,Regular member
238,F,Chloe Schmitz,USA,UTC-5,tuttoprosciutto,Regular member
239,M,Jorge Patel,USA,UTC-4,usacanbegreat,Regular member
240,F,Barbara Smith,USA,UTC-6,uzes,Regular member
241,F,Chloe Schmitz,USA,UTC-7,virtuafighter,Regular member
242,M,Anthony Patel,USA,UTC-5,whataskeptic,Regular member
243,M,Jorge Brandt,USA,UTC-4,WhereisJohnGalt?,Regular member
244,M,Ignatz Liu,USA,UTC-6,whitey,Regular member
245,F,Sarah Khan,USA,UTC-7,wickedgrin982,Regular member
246,M,Jorge Brandt,USA,UTC-5,wng239,Regular member
247,F,Denise diAntonio,USA,UTC-4,woolybully372,Regular member
248,M,Jorge Schmitz,GBR,UTC+0,wowhesrightdude,Regular member
1001,F,Sarah Liu,RUS,UTC+3,EatTheRich14,Potential troll on Tesla posts
1002,F,Barbara Connor,ROM,UTC+2,ProudSCBoy,Potential troll on Tesla posts
1003,M,Travis Liu,RUS,UTC+3,TSLAHater21,Potential troll on Tesla posts
1004,M,Bobby Lopez,BOL,UTC-5,BiteMeElon12,Potential troll on climate change
2001,M,Jorge Schmitz,DRK,UTC+11,AntiVaxx42,Potential troll on eMustang posts
2002,F,Denise Lopez,CHI,UTC+9,LogBurner18,Potential troll on eMustang posts
2003,M,Jorge Vacaro,CHI,UTC+8,SorryHenryFord29,Potential troll on eMustang posts
2004,F,Barbara Vacaro,PER,UTC-6,2A3Percent,Potential troll on climate change
